message_id|from|to|creation_time|host_location|section|distance
M1|ST1|ST0|1.0000|(666.93,1993.92)|ST0|0.6976596821677282
M1|ST1|ST9|2.0000|(668.71,1994.30)|ST9|1.3953193643354564
M1|ST9|ST17|3.0000|(666.84,1989.81)|ST17|2.0929790465031846
M1|ST1|ST14|3.0000|(670.48,1994.68)|ST14|2.0929790465031846
M1|ST9|ST12|4.0000|(667.40,1988.56)|ST12|2.7906387286710452
M1|ST1|ST_MASK29|4.0000|(672.26,1995.05)|ST_MASK29|2.7906387286710452
M1|ST17|ST_MASK25|4.0000|(672.70,1994.89)|ST_MASK25|2.7906387286710452
M1|ST17|ST18|5.0000|(674.58,1995.23)|ST18|3.488298410838773
M1|ST1|ST7|5.0000|(674.03,1995.43)|ST7|3.488298410838773
M1|ST_MASK25|ST5|5.0000|(674.37,1995.33)|ST5|3.488298410838773
M1|ST9|ST_MASK24|5.0000|(667.96,1987.32)|ST_MASK24|3.488298410838773
M1|ST14|ST15|5.0000|(661.88,1994.17)|ST15|3.488298410838773
M1|ST5|ST3|6.0000|(670.16,1987.62)|ST3|4.185958093006635
M1|ST_MASK25|ST2|6.0000|(676.22,1995.68)|ST2|4.185958093006635
M1|ST18|ST_MASK28|6.0000|(668.73,1984.08)|ST_MASK28|4.185958093006635
M1|ST7|ST6|6.0000|(670.80,1983.02)|ST6|4.185958093006635
M1|ST9|ST19|6.0000|(668.52,1986.07)|ST19|4.185958093006635
M1|ST12|ST16|6.0000|(670.38,1995.28)|ST16|4.185958093006635
M1|ST_MASK29|ST_MASK26|6.0000|(668.60,1990.31)|ST_MASK26|4.185958093006635
M1|ST17|U-BAHN82|6.0000|(676.47,1995.57)|U-BAHN82|4.185958093006635
M1|ST_MASK24|ST11|6.0000|(670.83,1988.08)|ST11|4.185958093006635
M1|ST14|ST_MASK23|6.0000|(661.22,1994.29)|ST_MASK23|4.185958093006635
M1|ST3|ST_MASK20|7.0000|(673.17,1996.88)|ST_MASK20|4.883617775174362
M1|ST2|ST_MASK21|7.0000|(668.05,2000.00)|ST_MASK21|4.883617775174362
M1|U-BAHN82|ST4|7.0000|(665.15,1993.55)|ST4|4.883617775174362
M1|ST5|ST_MASK22|7.0000|(671.00,1986.63)|ST_MASK22|4.883617775174362
M1|ST_MASK28|ST_MASK27|7.0000|(677.41,1992.30)|ST_MASK27|4.883617775174362
M1|ST18|ST8|7.0000|(669.32,1982.50)|ST8|4.883617775174362
M1|ST19|ST10|7.0000|(655.51,1984.67)|ST10|4.883617775174362
M1|U-BAHN82|ST13|8.0000|(665.15,1993.55)|ST13|5.581277457342223
